DATAFLOW,LAST UPDATE,freq,unit,s_adj,sector10,sectpart,partner,stk_flow,bop_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,BAL,SC,EA20,2024-Q1,-2264.6,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,BAL,SC,EA20,2024-Q2,1037.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2022-Q1,1242035.2,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2022-Q2,1372537.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2022-Q3,1377156.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2022-Q4,1477826.5,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2023-Q1,1354662.0,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2023-Q2,1422619.5,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2023-Q3,1402068.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2023-Q4,1446715.9,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2024-Q1,1380032.6,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,CA,EA20,2024-Q2,1510978.0,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2022-Q1,666119.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2022-Q2,713811.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2022-Q3,731024.6,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2022-Q4,761404.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2023-Q1,718227.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2023-Q2,705672.6,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2023-Q3,686338.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2023-Q4,705858.9,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2024-Q1,696311.4,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G,EA20,2024-Q2,721909.1,
